sku,brand,title,category,url,price,margin
A018,TAJ MAHAL,"Taj Mahal Tea South, 100 gm",Tea,https://www.bigbasket.com/pd/266564/taj-mahal-tea-south-100-gm/,12,8%
A019,3 ROSES,"3 Roses Tea - Dust, 100 gm",Tea,https://www.bigbasket.com/pd/266591/3-roses-tea-dust-100-gm/,9,10%
A020,3 ROSES,"3 Roses Tea - Dust, 250 gm",Tea,https://www.bigbasket.com/pd/266591/3-roses-tea-dust-250-gm/,22,11%
A021,3 ROSES,"3 Roses Tea - Dust, 500 gm",Tea,https://www.bigbasket.com/pd/266591/3-roses-tea-dust-500-gm/,45,9%
A022,Society,"Society Tea, 250 gm Pouch",Tea,https://www.bigbasket.com/pd/267229/society-tea-250-gm-pouch/,21,8%
A023,Society,"Society Tea, 500 gm Pouch",Tea,https://www.bigbasket.com/pd/267229/society-tea-500-gm-pouch/,44,10%
A024,Society,"Society Tea, 100 gm Pouch",Tea,https://www.bigbasket.com/pd/267229/society-tea-100-gm-pouch/,8,10%
A025,Nescafe,"Nescafe Sunrise Coffee - Instant, 4.5 gm Pouch",Coffee,https://www.bigbasket.com/pd/40020218/nescafe-sunrise-coffee-instant-45-gm-pouch/,5,9%
A026,Nescafe,"Nescafe Sunrise Coffee - Instant, 8.5 gm Pouch",Coffee,https://www.bigbasket.com/pd/40020218/nescafe-sunrise-coffee-instant-85-gm-pouch/,10,8%
A027,Bru,"Bru Instant Coffee, 200 gm Stand up Pouch",Coffee,https://www.bigbasket.com/pd/266579/bru-instant-coffee-200-gm-stand-up-pouch/,90,10%
A028,Bru,"Bru Instant Coffee, 50 gm Stand up Pouch",Coffee,https://www.bigbasket.com/pd/266579/bru-instant-coffee-50-gm-stand-up-pouch/,6,12%
A029,Nescafe,"Nescafe Coffee - Classic, 25 gm Jar",Coffee,https://www.bigbasket.com/pd/267376/nescafe-coffee-classic-25-gm-jar/,12,11%
A030,Nescafe,"Nescafe Coffee - Classic, 100 gm Jar",Coffee,https://www.bigbasket.com/pd/267376/nescafe-coffee-classic-100-gm-jar/,54,12%
A031,COTHAS,"Cothas Coffee Speciality Blend of Coffee and Chicory Powder, 500 gm Pouch",Coffee,https://www.bigbasket.com/pd/186070/cothas-coffee-speciality-blend-of-coffee-and-chicory-powder-500-gm-pouch/,85,15%
A032,COTHAS,"Cothas Coffee Speciality Blend of Coffee and Chicory Powder, 200 gm Pouch",Coffee,https://www.bigbasket.com/pd/186070/cothas-coffee-speciality-blend-of-coffee-and-chicory-powder-200-gm-pouch/,190,9%
A033,Bru,"Bru Green label Coffee, 200 gm",Coffee,https://www.bigbasket.com/pd/266549/bru-green-label-coffee-200-gm/,85,8%
A034,Bru,"Bru Green label Coffee, 500 gm",Coffee,https://www.bigbasket.com/pd/266549/bru-green-label-coffee-100-gm/,156,10%
A035,Cothas,"Cothas Coffee Coffee Powder - Pure Filter, Nova Therm, 500 gm",Coffee,https://www.bigbasket.com/pd/40087136/cothas-coffee-coffee-powder-pure-filter-nova-therm-500-gm/,250,11%
A036,Cothas,"Cothas Coffee Coffee Powder - Pure Filter, Nova Therm, 100 gm",Coffee,https://www.bigbasket.com/pd/40087136/cothas-coffee-coffee-powder-pure-filter-nova-therm-100-gm/,52,12%
A037,Bayers,"Bayars Coffee - Special Gold, 500 gm",Coffee,https://www.bigbasket.com/pd/40017344/bayars-coffee-special-gold-500-gm/,200,15%
A038,Bayers,"Bayars Coffee - Special Gold, 100 gm",Coffee,https://www.bigbasket.com/pd/40017344/bayars-coffee-special-gold-100-gm/,40,12%
